event_id,match_id,event_minute,event_type,event_comment
42,39bd6d92,63',Substitution,"Substitution: T. Allende out, D. Pinter in"
41,39bd6d92,63',Foul,"Nicolás Fernández (New York City Football Club) wins a free kick, after being fouled by Yannick Bright (Inter Miami CF)."
40,39bd6d92,61',Goal,Goal! 2:2. Lionel Messi (Inter Miami CF) scored from free kick with left footed shot from the central position outside the box with an xG of 3% to the central bottom zone.
39,39bd6d92,61',Yellow Card,Maxi Moralez (New York City Football Club) is shown the yellow card
38,39bd6d92,60',Foul,"Lionel Messi (Inter Miami CF) wins a free kick, after being fouled by Aiden O'Neill (New York City Football Club)."
37,39bd6d92,59',Goal,"Goal! 2:1. Agustín Ojeda (New York City Football Club) scored with right footed shot from the center of the box with an xG of 21% to the middle right zone. Assisted by Maxi Moralez, second assist by Kevin O'Toole."
36,39bd6d92,57',Corner,"Corner from the left, (Inter Miami CF). Executed by Telasco Segovia."
35,39bd6d92,56',Foul,Foul by Hannes Wolf (New York City Football Club).
34,39bd6d92,55',Yellow Card,Ian Fray (Inter Miami CF) is shown the yellow card
33,39bd6d92,54',Foul,"Nicolás Fernández (New York City Football Club) wins a free kick, after being fouled by Ian Fray (Inter Miami CF)."
32,39bd6d92,54',Offside,"Offside, Inter Miami CF. Tadeo Allende is caught offside."
31,39bd6d92,53',Foul,Foul by Tayvon Gray (New York City Football Club).
30,39bd6d92,53',Yellow Card,Micael dos Santos (Inter Miami CF) is shown the yellow card
29,39bd6d92,52',Foul,"Ian Fray (Inter Miami CF) wins a free kick, after being fouled by Hannes Wolf (New York City Football Club)."
28,39bd6d92,51',Foul,"Hannes Wolf (New York City Football Club) wins a free kick, after being fouled by Ian Fray (Inter Miami CF)."
27,39bd6d92,49',Foul,"David Ayala (Inter Miami CF) wins a free kick, after being fouled by Hannes Wolf (New York City Football Club)."
26,39bd6d92,48',Attempt Missed,Attempt missed. Mateo Silvetti's (Inter Miami CF) with right footed shot from the left side of the box with an xG of 2% misses to the right.
25,39bd6d92,46',Foul,"Ian Fray (Inter Miami CF) wins a free kick, after being fouled by Hannes Wolf (New York City Football Club)."
24,39bd6d92,45'+2,Offside,"Offside, New York City Football Club. Kevin O'Toole is caught offside."
23,39bd6d92,45'+1,Corner,"Corner from the left, (Inter Miami CF). Executed by Telasco Segovia."
